survey,source,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
CR. 9709-10 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,0,0,10,99,149,598,1287,1227,866,643,766,1787,1044,2078,2659,6248,7436,4466,5690,11382,21265,44452,48968,27139,11955,5513,1782,293,44,0,0
CR. 9803-05 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,173,291,2281,10558,20470,23612,28533,33942,33082,13635,3917,469,704,878,335,323,0,0,0,0,0,0
CR. 9805-06 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,320,922,3251,5113,15832,22464,10026,1668,2463,1783,375,51,0,0,0,0,0,0
CR. 9808-09 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,4710,28402,132419,240237,170091,90580,60336,50271,41956,27465,12020,5998,3019,2213,1697,1784,1428,1148,461,502,458,739,999,390,38,21,0,0,0,0,0,0,0,0
CR. 9811-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,17086,52080,2668,29337,183428,63266,18804,17608,16426,21616,20634,11977,5832,2967,928,802,630,665,553,647,1707,4929,5419,9583,14586,19452,17532,5540,406,18,0,0,0,0,0,0,0
CR. 9902-03 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,1249,4370,1873,625,2,485,9553,46501,31540,27155,27940,26745,23778,20726,20128,24451,24214,23140,20682,21417,27209,41172,27853,12917,12800,15610,10563,3245,151,0,0,0,0,0,0
CR. 9906 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,41632,128805,263292,885489,1055046,905500,450095,200953,88615,53438,13019,7596,6679,668,0,0,36,537,1110,823,86,107,253,959,2722,3877,4350,3681,2125,1100,214,0,0,0,0,0
CR. 9911-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,32,33,86,78,122,162,362,786,2673,4651,10892,32369,59344,48039,48108,41750,29894,16286,7816,6392,4888,2215,578,94,0,21,0,0
CR. 0001-02 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,1475,6081,4332,3170,1603,826,46,90,18,22,100,182,245,539,841,1654,4162,12432,30044,47357,69489,77435,64994,34873,20133,11851,3607,428,39,0,0,0
CR. 0006-07 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,242,2208,5409,2968,2174,3795,2113,113,105,0,0,12,7,0,285,624,665,3117,2283,11896,12807,22577,49378,71385,64172,37366,9992,4318,176,67,0,0,0
CR. 0010-11 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,68923,105296,120276,192281,162333,89985,92746,27130,3622,5910,1289,4204,5298,4342,1378,1648,1553,5309,4983,5711,4853,8252,7127,8874,8227,7103,4523,13455,28646,32893,17542,8098,1983,133,0,0,0
CR. 0103-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,16337,32674,49011,16337,15,0,45,75,30,28,54,284,729,2421,6280,23535,44520,70867,89264,79971,81753,69679,80534,73726,51025,28947,13932,7791,10389,8510,5132,1242,65,28,0,0
CR. 0107-08 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,46,139,92,0,0,20,155,123,313,229,594,1504,3654,3715,3021,1792,3578,3645,4528,8959,25574,40433,48456,42131,39501,25132,10730,5095,3174,1274,31,41,0,0
CR. 0108-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,0,549,2441,1236,844,177,559,373,509,225,968,1535,3035,4267,9140,19331,32770,36990,37534,28143,21255,16300,5304,2224,954,157,34,0,0,0
CR. 0110-11 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,8433,39710,27509,54989,51162,43653,31215,10902,5686,2402,726,761,79,56,56,421,130,219,515,6840,3493,12006,19140,34089,41482,38433,53219,41171,19652,7046,3369,825,196,0,0,0
CR. 0202-03 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,0,0,91,579,2840,7108,37019,159207,142417,134938,134192,120956,120561,117870,104136,90373,61448,46168,15731,6053,2295,4452,4734,2827,514,57,5,0,0,0,0
